date; trend1
01.01.2004;44
01.02.2004;53
01.03.2004;55
01.04.2004;58
01.05.2004;62
01.06.2004;48
01.07.2004;58
01.08.2004;67
01.09.2004;71
01.10.2004;71
01.11.2004;75
01.12.2004;60
01.01.2005;75
01.02.2005;69
01.03.2005;94
01.04.2005;90
01.05.2005;50
01.06.2005;63
01.07.2005;95
01.08.2005;74
01.09.2005;85
01.10.2005;77
01.11.2005;62
01.12.2005;62
01.01.2006;73
01.02.2006;73
01.03.2006;100
01.04.2006;85
01.05.2006;79
01.06.2006;83
01.07.2006;84
01.08.2006;92
01.09.2006;84
01.10.2006;87
01.11.2006;70
01.12.2006;65
01.01.2007;80
01.02.2007;74
01.03.2007;78
01.04.2007;71
01.05.2007;70
01.06.2007;66
01.07.2007;86
01.08.2007;98
01.09.2007;86
01.10.2007;86
01.11.2007;80
01.12.2007;69
01.01.2008;94
01.02.2008;92
01.03.2008;88
01.04.2008;90
01.05.2008;80
01.06.2008;73
01.07.2008;86
01.08.2008;78
01.09.2008;82
01.10.2008;67
01.11.2008;62
01.12.2008;53
01.01.2009;67
01.02.2009;68
01.03.2009;69
01.04.2009;71
01.05.2009;72
01.06.2009;64
01.07.2009;73
01.08.2009;79
01.09.2009;70
01.10.2009;65
01.11.2009;71
01.12.2009;51
01.01.2010;67
01.02.2010;67
01.03.2010;63
01.04.2010;58
01.05.2010;63
01.06.2010;59
01.07.2010;62
01.08.2010;57
01.09.2010;58
01.10.2010;52
01.11.2010;51
01.12.2010;43
01.01.2011;58
01.02.2011;59
01.03.2011;54
01.04.2011;53
01.05.2011;51
01.06.2011;55
01.07.2011;59
01.08.2011;56
01.09.2011;52
01.10.2011;50
01.11.2011;47
01.12.2011;40
01.01.2012;50
01.02.2012;49
01.03.2012;49
01.04.2012;46
01.05.2012;46
01.06.2012;47
01.07.2012;50
01.08.2012;50
01.09.2012;45
01.10.2012;43
01.11.2012;40
01.12.2012;29
01.01.2013;41
01.02.2013;41
01.03.2013;42
01.04.2013;39
01.05.2013;37
01.06.2013;38
01.07.2013;42
01.08.2013;42
01.09.2013;38
01.10.2013;37
01.11.2013;38
01.12.2013;30
01.01.2014;38
01.02.2014;39
01.03.2014;45
01.04.2014;40
01.05.2014;35
01.06.2014;34
01.07.2014;39
01.08.2014;39
01.09.2014;36
01.10.2014;35
01.11.2014;36
01.12.2014;33
01.01.2015;34
01.02.2015;33
01.03.2015;31
01.04.2015;30
01.05.2015;28
01.06.2015;30
01.07.2015;32
01.08.2015;30
01.09.2015;30
01.10.2015;29
01.11.2015;29
01.12.2015;24
01.01.2016;30
01.02.2016;30
01.03.2016;31
01.04.2016;33
01.05.2016;29
01.06.2016;28
01.07.2016;30
01.08.2016;31
01.09.2016;27
01.10.2016;26
01.11.2016;24
01.12.2016;21
01.01.2017;26
